,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,labels
0,1,0,0,4,5,0,0,0,7,1,0,2,5,4,8,5,1
1,7,1,0,4,6,1,1,3,5,0,2,8,10,6,4,3,2
2,0,0,0,4,7,0,2,1,1,1,0,4,2,7,8,2,1
3,0,0,0,4,1,1,0,2,1,0,0,9,3,4,10,5,1
4,4,0,0,4,10,0,1,0,6,1,0,7,1,6,7,4,1
5,10,2,0,4,7,0,0,3,8,0,2,10,6,4,2,10,0
6,0,0,0,4,3,0,0,1,7,1,0,9,4,3,3,1,1
7,1,0,0,4,7,1,1,2,4,0,0,9,1,5,10,2,1
8,6,0,0,4,7,0,2,0,4,1,0,5,5,10,1,1,1
9,9,2,0,4,5,0,2,3,10,0,2,7,10,7,7,8,0
10,4,0,0,4,9,0,1,1,4,1,0,10,1,1,1,6,1
11,8,1,1,4,1,1,2,2,7,0,0,6,2,1,7,3,1
12,2,0,0,4,4,0,0,0,3,1,0,9,3,6,6,3,1
13,7,1,0,4,9,1,1,3,1,0,2,9,3,9,8,7,1
14,6,0,0,4,3,0,2,1,7,1,0,7,8,5,2,9,0
15,6,0,0,4,10,1,0,2,3,0,0,10,5,8,5,4,1
16,6,0,0,4,3,0,1,0,5,1,0,10,2,6,10,4,1
17,2,0,0,4,5,1,2,3,4,0,0,4,4,10,4,8,1
18,4,0,0,4,4,0,0,1,4,1,0,10,2,7,6,4,1
19,3,0,0,4,4,1,1,2,5,0,0,10,9,8,8,3,2
20,8,1,1,4,8,0,2,0,4,1,0,4,7,6,6,6,0
21,0,0,1,4,10,1,0,3,4,0,1,10,9,5,1,6,2
22,5,0,1,4,2,0,1,1,1,1,1,10,1,3,9,4,1
23,10,2,0,4,7,0,0,2,10,0,1,10,9,5,4,8,0
24,0,0,1,4,1,0,0,0,2,1,1,9,10,5,3,3,2
25,1,0,1,4,3,1,1,3,6,0,1,9,7,5,4,4,2
26,1,0,0,4,10,0,2,1,4,1,0,5,6,2,1,2,2
27,9,2,0,4,5,0,0,2,10,0,2,10,5,10,5,10,0
28,10,2,1,4,4,0,0,0,9,1,2,9,2,7,5,9,0
29,6,0,0,4,1,1,2,3,6,0,0,8,4,7,1,4,1
30,4,0,1,4,2,0,0,1,2,1,1,10,8,4,2,5,2
31,7,1,0,4,6,1,1,2,4,0,2,9,7,7,8,10,0
32,3,0,0,4,4,0,2,0,3,1,0,7,2,4,2,4,1
33,7,1,0,4,4,1,0,3,3,0,1,10,6,7,10,10,0
34,8,1,1,4,1,0,1,1,4,1,2,10,9,9,4,2,2
35,4,0,0,4,10,1,2,2,4,0,0,4,6,2,3,1,2
36,3,0,1,4,3,0,0,0,5,1,1,10,3,8,1,3,1
37,6,0,1,4,9,1,1,3,1,0,1,9,5,3,7,4,1
38,7,1,0,4,1,0,2,1,5,1,0,5,9,5,7,8,0
39,5,0,1,4,8,1,0,2,3,0,0,10,8,10,5,4,2
40,7,1,1,4,7,0,1,0,4,1,2,10,6,3,4,5,2
41,10,2,0,4,7,0,0,3,5,0,2,9,3,3,1,10,0
42,8,1,1,4,1,0,0,1,3,1,1,9,3,1,7,6,1
43,0,0,1,4,8,1,1,2,2,0,0,10,2,6,10,4,1
44,7,1,0,4,9,0,2,0,4,1,0,6,9,6,3,1,2
45,6,0,1,4,5,1,0,3,1,0,0,10,3,8,3,3,1
46,7,1,1,4,3,0,1,1,7,1,2,9,5,1,8,3,1
47,7,1,0,4,8,1,2,2,5,0,0,7,9,4,2,1,2
48,1,0,0,4,8,0,0,0,1,1,0,10,7,9,3,2,2
49,8,1,0,4,3,1,1,3,4,0,2,9,10,4,5,7,0
