,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,label
0,4583,1508.0,128.0,360.0,1.0,3
1,3000,0.0,66.0,360.0,1.0,0
2,2583,2358.0,120.0,360.0,1.0,3
3,6000,0.0,141.0,360.0,1.0,3
4,2333,1516.0,95.0,360.0,1.0,0
5,3200,700.0,70.0,360.0,1.0,0
7,1853,2840.0,114.0,360.0,1.0,0
8,1299,1086.0,17.0,120.0,1.0,4
9,4950,0.0,125.0,360.0,1.0,3
11,3510,0.0,76.0,360.0,0.0,1
12,4887,0.0,133.0,360.0,1.0,3
14,7660,0.0,104.0,360.0,0.0,1
15,2600,1911.0,116.0,360.0,0.0,1
17,2799,2253.0,122.0,360.0,1.0,3
18,4226,1040.0,110.0,360.0,1.0,3
19,1442,0.0,35.0,360.0,1.0,0
21,3167,0.0,74.0,360.0,1.0,0
22,4692,0.0,106.0,360.0,1.0,3
23,3500,1667.0,114.0,360.0,1.0,3
25,3667,1459.0,144.0,360.0,1.0,3
26,3748,1668.0,110.0,360.0,1.0,3
27,3600,0.0,80.0,360.0,1.0,0
28,1800,1213.0,47.0,360.0,1.0,0
30,3941,2336.0,134.0,360.0,1.0,3
33,5649,0.0,44.0,360.0,1.0,0
34,5821,0.0,144.0,360.0,1.0,3
35,2645,3440.0,120.0,360.0,0.0,1
36,4000,2275.0,144.0,360.0,1.0,3
37,1928,1644.0,100.0,360.0,1.0,0
38,3086,0.0,120.0,360.0,1.0,3
39,4230,0.0,112.0,360.0,1.0,3
40,4616,0.0,134.0,360.0,1.0,3
41,2708,1167.0,97.0,360.0,1.0,0
42,2132,1591.0,96.0,360.0,1.0,0
43,3366,2200.0,135.0,360.0,1.0,3
44,3357,2859.0,144.0,360.0,1.0,3
45,2500,3796.0,120.0,360.0,1.0,3
46,3029,0.0,99.0,360.0,1.0,0
47,4166,0.0,116.0,360.0,0.0,1
48,3200,2254.0,126.0,180.0,0.0,1
49,7100,0.0,125.0,60.0,1.0,4
50,4300,0.0,136.0,360.0,0.0,1
51,1875,1875.0,97.0,360.0,1.0,0
52,3500,0.0,81.0,300.0,1.0,0
54,3750,0.0,113.0,480.0,1.0,3
55,1000,3022.0,110.0,360.0,1.0,0
57,3846,0.0,111.0,360.0,1.0,3
58,3988,0.0,50.0,240.0,1.0,4
59,2366,2531.0,136.0,360.0,1.0,3
61,2500,2118.0,104.0,360.0,1.0,0
62,2958,2900.0,131.0,360.0,1.0,3
63,3273,1820.0,81.0,360.0,1.0,0
64,4133,0.0,122.0,360.0,1.0,3
65,3620,0.0,25.0,120.0,1.0,4
66,2484,2302.0,137.0,360.0,1.0,3
67,1977,997.0,50.0,360.0,1.0,0
68,4188,0.0,115.0,180.0,1.0,4
69,1759,3541.0,131.0,360.0,1.0,3
70,4288,3263.0,133.0,180.0,1.0,4
71,3052,1030.0,100.0,360.0,1.0,0
73,2071,754.0,94.0,480.0,1.0,0
74,5316,0.0,136.0,360.0,1.0,3
78,4166,0.0,44.0,360.0,1.0,0
79,2137,8980.0,137.0,360.0,0.0,1
80,2957,0.0,81.0,360.0,1.0,0
82,2014,1929.0,74.0,360.0,1.0,0
83,2718,0.0,70.0,360.0,1.0,0
84,3459,0.0,25.0,120.0,1.0,4
85,4895,0.0,102.0,360.0,1.0,3
86,4583,0.0,84.0,360.0,1.0,0
87,3316,3500.0,88.0,360.0,1.0,0
88,4200,1430.0,129.0,360.0,1.0,3
89,2698,2034.0,122.0,360.0,1.0,3
90,2330,4486.0,100.0,360.0,1.0,0
91,1538,1425.0,30.0,360.0,1.0,0
92,4860,830.0,125.0,360.0,1.0,3
93,6277,0.0,118.0,360.0,0.0,1
94,2281,0.0,113.0,360.0,1.0,0
95,3254,0.0,50.0,360.0,1.0,0
97,1863,1041.0,98.0,360.0,1.0,0
98,3089,1280.0,121.0,360.0,0.0,1
99,9323,0.0,75.0,180.0,1.0,4
100,4583,0.0,112.0,360.0,1.0,3
101,2439,3333.0,129.0,360.0,1.0,3
102,2237,0.0,63.0,480.0,0.0,1
104,3522,0.0,81.0,180.0,1.0,4
105,4344,736.0,87.0,360.0,1.0,0
106,3497,1964.0,116.0,360.0,1.0,3
107,2045,1619.0,101.0,360.0,1.0,0
108,3750,0.0,116.0,360.0,1.0,3
109,2333,1451.0,102.0,480.0,0.0,1
111,4600,0.0,73.0,180.0,1.0,4
112,3625,0.0,108.0,360.0,1.0,3
113,2178,0.0,66.0,300.0,0.0,1
115,4885,0.0,48.0,360.0,1.0,0
116,3858,0.0,76.0,360.0,1.0,0
117,4191,0.0,120.0,360.0,1.0,3
120,2600,2500.0,90.0,360.0,1.0,0
121,3500,1083.0,135.0,360.0,1.0,3
122,3917,0.0,124.0,360.0,1.0,3
123,4408,0.0,120.0,360.0,1.0,3
124,3244,0.0,80.0,360.0,1.0,0
125,3975,2531.0,55.0,360.0,1.0,0
126,2479,0.0,59.0,360.0,1.0,0
127,3418,0.0,127.0,360.0,1.0,3
128,3430,1250.0,128.0,360.0,0.0,1
129,5703,0.0,130.0,360.0,1.0,3
130,3173,3021.0,137.0,360.0,1.0,3
131,3850,983.0,100.0,360.0,1.0,3
132,150,1800.0,135.0,360.0,1.0,0
133,3727,1775.0,131.0,360.0,1.0,3
136,2221,0.0,60.0,360.0,0.0,1
137,4009,1717.0,116.0,360.0,1.0,3
138,2971,2791.0,144.0,360.0,1.0,3
139,6250,0.0,128.0,360.0,1.0,3
141,2491,2054.0,104.0,360.0,1.0,0
144,3155,1779.0,140.0,360.0,1.0,3
146,3812,0.0,112.0,360.0,1.0,3
147,3315,0.0,96.0,360.0,1.0,0
148,5819,5000.0,120.0,360.0,1.0,3
149,2510,1983.0,140.0,180.0,1.0,4
150,6250,1300.0,108.0,360.0,1.0,3
151,3406,4417.0,123.0,360.0,1.0,3
152,6050,4333.0,120.0,180.0,1.0,4
153,9703,0.0,112.0,360.0,1.0,3
154,6608,0.0,137.0,180.0,1.0,4
155,2882,1843.0,123.0,480.0,1.0,3
156,1809,1868.0,90.0,360.0,1.0,0
157,3427,0.0,138.0,360.0,1.0,3
158,2583,2167.0,104.0,360.0,1.0,0
159,6045,0.0,115.0,360.0,0.0,1
160,5250,0.0,94.0,360.0,1.0,3
162,2060,2209.0,134.0,360.0,1.0,3
163,7200,0.0,120.0,360.0,1.0,3
164,5166,0.0,128.0,360.0,1.0,3
165,4708,1387.0,150.0,360.0,1.0,3
167,2876,1560.0,90.0,360.0,1.0,0
168,3237,0.0,30.0,360.0,1.0,0
169,2833,1857.0,126.0,360.0,1.0,3
170,2620,2223.0,150.0,360.0,1.0,3
171,3900,0.0,90.0,360.0,1.0,0
172,2750,1842.0,115.0,360.0,1.0,3
173,3103,1300.0,80.0,360.0,1.0,0
175,3927,800.0,112.0,360.0,1.0,3
176,2301,985.7999877999998,78.0,180.0,1.0,4
177,1811,1666.0,54.0,360.0,1.0,0
178,3158,3053.0,89.0,360.0,1.0,0
179,2600,1717.0,99.0,300.0,1.0,0
180,3704,2000.0,120.0,360.0,1.0,3
181,4124,0.0,115.0,360.0,1.0,3
182,3075,2416.0,139.0,360.0,1.0,3
183,4400,0.0,127.0,360.0,0.0,1
184,3153,1560.0,134.0,360.0,1.0,3
187,4666,0.0,135.0,360.0,1.0,3
188,2014,2925.0,113.0,360.0,1.0,0
189,1800,2934.0,93.0,360.0,0.0,1
191,5000,0.0,132.0,360.0,1.0,3
192,1625,1803.0,96.0,360.0,1.0,0
193,4000,2500.0,140.0,360.0,1.0,3
194,3762,1666.0,135.0,360.0,1.0,3
195,2400,1863.0,104.0,360.0,0.0,1
196,2917,0.0,84.0,360.0,1.0,0
197,2927,2405.0,111.0,360.0,1.0,3
198,2507,0.0,56.0,360.0,1.0,0
200,3399,1640.0,111.0,180.0,1.0,4
201,3717,0.0,120.0,360.0,1.0,3
204,2400,2167.0,115.0,360.0,1.0,0
205,4342,189.0,124.0,360.0,1.0,3
207,4917,0.0,130.0,360.0,0.0,1
208,4333,2451.0,110.0,360.0,1.0,3
209,2500,0.0,67.0,360.0,1.0,0
210,4384,1793.0,117.0,360.0,1.0,3
211,2935,0.0,98.0,360.0,1.0,0
214,4160,0.0,71.0,360.0,1.0,0
215,2378,0.0,46.0,360.0,1.0,0
216,3173,0.0,74.0,360.0,1.0,0
218,3083,2168.0,126.0,360.0,1.0,3
219,2666,2083.0,95.0,360.0,1.0,0
220,5500,0.0,105.0,360.0,0.0,1
221,2423,505.0,130.0,360.0,1.0,3
223,3875,0.0,67.0,360.0,1.0,0
224,3000,1666.0,100.0,480.0,0.0,1
225,4723,0.0,81.0,360.0,1.0,0
226,4750,2333.0,130.0,360.0,1.0,3
228,6822,0.0,141.0,360.0,1.0,3
229,6216,0.0,133.0,360.0,1.0,3
230,2500,0.0,96.0,480.0,1.0,0
232,3062,1987.0,111.0,180.0,0.0,1
234,4817,923.0,120.0,180.0,1.0,4
235,8750,4996.0,130.0,360.0,1.0,3
237,3069,0.0,71.0,480.0,1.0,0
238,5391,0.0,130.0,360.0,1.0,3
240,7167,0.0,128.0,360.0,1.0,3
241,4566,0.0,100.0,360.0,1.0,3
243,2346,1600.0,132.0,360.0,1.0,3
244,2333,2417.0,136.0,360.0,1.0,3
245,5488,0.0,125.0,360.0,1.0,3
247,1993,1625.0,113.0,180.0,1.0,4
248,3100,1400.0,113.0,360.0,1.0,3
250,3180,0.0,71.0,360.0,0.0,1
251,3033,1459.0,95.0,360.0,1.0,0
252,3902,1666.0,109.0,360.0,1.0,3
253,1500,1800.0,103.0,360.0,0.0,1
254,2889,0.0,45.0,180.0,0.0,1
255,2755,0.0,65.0,300.0,1.0,0
256,2500,20000.0,103.0,360.0,1.0,2
257,1963,0.0,53.0,360.0,1.0,0
258,4547,0.0,115.0,360.0,1.0,3
259,2167,2400.0,115.0,360.0,1.0,0
260,2213,0.0,66.0,360.0,1.0,0
261,3867,0.0,62.0,360.0,1.0,0
262,2253,2033.0,110.0,360.0,1.0,0
263,2995,0.0,60.0,360.0,1.0,0
264,1025,2773.0,112.0,360.0,1.0,0
265,3246,1417.0,138.0,360.0,1.0,3
266,5829,0.0,138.0,360.0,1.0,3
268,1820,1719.0,100.0,360.0,1.0,0
270,2666,4300.0,121.0,360.0,1.0,3
271,4606,0.0,81.0,360.0,1.0,0
272,5935,0.0,133.0,360.0,1.0,3
273,2920,16.12000084,87.0,360.0,1.0,0
274,2717,0.0,60.0,180.0,1.0,4
275,8624,0.0,150.0,360.0,1.0,3
276,6500,0.0,105.0,360.0,0.0,1
277,2425,2340.0,143.0,360.0,1.0,3
278,3750,0.0,100.0,360.0,1.0,0
279,1926,1851.0,50.0,360.0,1.0,0
280,7142,0.0,138.0,360.0,1.0,3
281,4707,1993.0,148.0,360.0,1.0,3
282,3466,1210.0,130.0,360.0,1.0,3
283,4652,0.0,110.0,360.0,1.0,3
285,3340,1710.0,150.0,360.0,0.0,1
286,2309,1255.0,125.0,360.0,0.0,1
288,3948,1733.0,149.0,360.0,0.0,1
289,2483,2466.0,90.0,180.0,0.0,1
290,7085,0.0,84.0,360.0,1.0,3
291,3859,0.0,96.0,360.0,1.0,0
292,4301,0.0,118.0,360.0,1.0,3
293,4354,0.0,136.0,360.0,1.0,3
294,7740,0.0,128.0,180.0,1.0,4
296,4166,0.0,98.0,360.0,0.0,1
297,6000,0.0,140.0,360.0,1.0,3
298,2947,1664.0,70.0,180.0,0.0,1
300,4333,2451.0,110.0,360.0,1.0,3
301,2653,1500.0,113.0,180.0,0.0,1
302,4691,0.0,100.0,360.0,1.0,3
305,3095,0.0,113.0,360.0,1.0,3
306,2083,3150.0,128.0,360.0,1.0,3
307,1958,2436.0,131.0,360.0,1.0,3
308,3547,0.0,80.0,360.0,0.0,1
309,2435,0.0,75.0,360.0,1.0,0
311,3691,0.0,110.0,360.0,1.0,3
312,3597,2157.0,119.0,360.0,0.0,1
313,3326,913.0,105.0,84.0,1.0,4
314,2600,1700.0,107.0,360.0,1.0,0
316,2895,0.0,95.0,360.0,1.0,0
317,645,3683.0,113.0,480.0,1.0,0
318,3159,0.0,100.0,360.0,1.0,0
320,3814,1483.0,124.0,300.0,1.0,3
322,3598,1287.0,100.0,360.0,1.0,0
323,3283,2035.0,148.0,360.0,1.0,3
324,2130,6666.0,70.0,180.0,1.0,4
325,3466,3428.0,150.0,360.0,1.0,3
326,2031,1632.0,113.0,480.0,1.0,0
328,3400,0.0,95.0,360.0,1.0,0
329,2192,1742.0,45.0,360.0,1.0,0
330,2500,0.0,55.0,360.0,1.0,0
331,5677,1424.0,100.0,360.0,1.0,3
332,3775,0.0,110.0,360.0,1.0,3
333,2679,1302.0,94.0,360.0,1.0,0
334,6783,0.0,130.0,360.0,1.0,3
335,4281,0.0,100.0,360.0,1.0,3
336,3588,0.0,110.0,360.0,0.0,1
338,3617,0.0,107.0,360.0,1.0,3
339,2917,536.0,66.0,360.0,1.0,0
340,4608,2845.0,140.0,180.0,1.0,4
341,2138,0.0,99.0,360.0,0.0,1
343,2239,2524.0,128.0,360.0,1.0,3
345,3358,0.0,80.0,36.0,1.0,4
346,2526,1783.0,145.0,360.0,1.0,3
347,5000,0.0,103.0,360.0,0.0,1
348,2785,2016.0,110.0,360.0,1.0,0
349,3593,4266.0,132.0,180.0,0.0,1
350,5468,1032.0,26.0,360.0,1.0,0
352,3675,242.0,108.0,360.0,1.0,3
353,5800,0.0,132.0,360.0,1.0,3
355,3333,0.0,70.0,360.0,1.0,0
356,3400,2500.0,123.0,360.0,0.0,1
357,2378,0.0,9.0,360.0,1.0,0
358,3166,2064.0,104.0,360.0,0.0,1
359,6406,0.0,150.0,360.0,1.0,3
360,3159,461.0,108.0,84.0,1.0,4
362,3229,2739.0,110.0,360.0,1.0,3
363,1782,2232.0,107.0,360.0,1.0,0
364,1836,33837.0,90.0,360.0,1.0,2
365,3166,0.0,36.0,360.0,1.0,0
367,2787,1917.0,146.0,360.0,0.0,1
368,2297,1522.0,104.0,360.0,1.0,0
369,2165,0.0,70.0,360.0,1.0,0
371,2726,0.0,106.0,360.0,0.0,1
372,3000,3416.0,56.0,180.0,1.0,4
373,3859,3300.0,142.0,180.0,1.0,4
374,3833,0.0,110.0,360.0,1.0,3
376,5703,0.0,128.0,360.0,1.0,3
377,3232,1950.0,108.0,360.0,1.0,3
378,2900,0.0,71.0,360.0,1.0,0
379,4106,0.0,40.0,180.0,1.0,4
380,4583,0.0,133.0,360.0,0.0,1
