,antecedents,consequents,confidence,support,lift
0,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.34318181818181814,0.02197962154294032,8.542243083003951
1,frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.5471014492753623,0.02197962154294032,8.542243083003953
2,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.5338441890166028,0.020281416787967008,11.227070138400189
3,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.426530612244898,0.020281416787967008,11.227070138400189
4,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.6089438629876308,0.031052886948083454,12.806462261403135
5,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.653061224489796,0.031052886948083454,12.806462261403134
6,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.44719314938154137,0.022804463852498787,11.77094611590494
7,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.6002554278416347,0.022804463852498787,11.770946115904938
8,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.5048355899419729,0.025327510917030567,14.003582111310983
9,frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.702557200538358,0.025327510917030567,14.003582111310985
10,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.5748299319727891,0.02459970887918486,11.457683653732285
11,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.49032882011605416,0.02459970887918486,11.457683653732287
12,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.4705215419501134,0.020135856380397867,13.43136977782803
13,frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.5747922437673131,0.020135856380397867,13.431369777828031
14,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.5170068027210885,0.02212518195050946,12.761090064768423
15,frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.5461077844311377,0.02212518195050946,12.761090064768423
16,frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.6329411764705882,0.026103833090732654,14.494352941176471
17,frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.5977777777777779,0.026103833090732654,14.494352941176473
18,frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'DOTCOM POSTAGE'}),0.23183556405353728,0.023532265890344493,6.748772563761869
19,frozenset({'DOTCOM POSTAGE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.6850282485875706,0.023532265890344493,6.748772563761869
20,frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.5980284775465498,0.026491994177583696,16.260378525375184
